date,1a. open (EUR),2a. high (EUR),3a. low (EUR),4a. close (EUR),5. volume
2023-05-02 04:00:00,25603.01,25609.98,25484.0,25492.0,19.03654
2023-05-02 05:00:00,25495.0,25576.05,25447.36,25571.33,26.65223
2023-05-02 06:00:00,25571.33,25596.93,25539.0,25561.01,23.76945
2023-05-02 07:00:00,25561.01,25684.91,25549.02,25625.99,43.66961
2023-05-02 08:00:00,25626.48,25728.33,25590.81,25614.61,43.87288
2023-05-02 09:00:00,25614.61,25674.18,25575.88,25637.02,52.63263
2023-05-02 10:00:00,25637.17,25693.06,25626.76,25652.01,50.50363
2023-05-02 11:00:00,25662.37,25691.0,25604.53,25637.21,59.2664
2023-05-02 12:00:00,25636.67,25800.04,25583.33,25702.74,78.87934
2023-05-02 13:00:00,25699.96,25733.0,25563.51,25620.96,69.53587
2023-05-02 14:00:00,25624.99,26160.0,25502.8,25914.0,162.29371
2023-05-02 15:00:00,25919.03,26183.77,25814.88,25988.95,116.8318
2023-05-02 16:00:00,25988.91,26065.2,25928.66,25946.0,57.13412
2023-05-02 17:00:00,25948.43,26056.0,25915.12,26041.71,36.06725
2023-05-02 18:00:00,26044.27,26229.95,26000.0,26181.99,44.57633
2023-05-02 19:00:00,26183.62,26327.0,26139.09,26153.0,90.36941
2023-05-02 20:00:00,26171.0,26265.49,26111.01,26166.0,33.38612
2023-05-02 21:00:00,26160.44,26179.57,26110.0,26152.72,25.43172
2023-05-02 22:00:00,26152.72,26279.99,26142.5,26209.99,49.53793
2023-05-02 23:00:00,26210.0,26239.01,26092.91,26130.78,15.27755
2023-05-03 00:00:00,26132.71,26149.96,25936.99,25948.98,49.16448
2023-05-03 01:00:00,25948.6,26012.02,25936.93,25974.94,44.0383
2023-05-03 02:00:00,25972.05,25978.22,25791.0,25940.74,30.80105
2023-05-03 03:00:00,25940.74,25962.27,25879.43,25942.01,19.06177
2023-05-03 04:00:00,25942.01,25946.76,25863.23,25929.09,32.44883
2023-05-03 05:00:00,25928.56,25933.78,25865.01,25891.63,22.30579
2023-05-03 06:00:00,25889.25,26067.4,25855.02,25996.37,41.13429
2023-05-03 07:00:00,25993.24,26071.88,25983.78,26054.83,40.17793
2023-05-03 08:00:00,26054.83,26159.51,25980.23,26078.91,45.41771
2023-05-03 09:00:00,26074.67,26083.79,26011.05,26063.0,43.09733
2023-05-03 10:00:00,26063.87,26081.56,25960.79,25977.63,43.75837
2023-05-03 11:00:00,25974.42,26010.51,25905.0,25927.58,48.04979
2023-05-03 12:00:00,25927.57,25962.52,25681.42,25743.0,96.4887
2023-05-03 13:00:00,25738.71,25830.0,25590.8,25807.61,103.36577
2023-05-03 14:00:00,25809.22,25817.47,25533.13,25625.3,64.83556
2023-05-03 15:00:00,25621.0,25735.6,25560.43,25702.97,51.52652
2023-05-03 16:00:00,25699.88,25880.11,25647.0,25866.01,47.04957
2023-05-03 17:00:00,25866.32,26130.0,25806.05,25954.37,97.70917
2023-05-03 18:00:00,25958.61,26091.0,25640.0,25807.95,165.99697
2023-05-03 19:00:00,25804.9,25872.0,25634.12,25703.07,60.19672
2023-05-03 20:00:00,25692.01,25913.45,25650.6,25859.4,48.69363
2023-05-03 21:00:00,25861.91,26328.91,25857.71,26215.43,93.47583
2023-05-03 22:00:00,26215.58,26502.57,26215.58,26367.66,79.30909
2023-05-03 23:00:00,26369.99,26391.01,26216.12,26288.99,31.46301
2023-05-04 00:00:00,26291.09,26344.29,26208.76,26300.85,26.82006
2023-05-04 01:00:00,26297.01,26329.0,26230.45,26303.08,18.77527
2023-05-04 02:00:00,26304.99,26408.69,26226.04,26286.96,17.52495
2023-05-04 03:00:00,26286.78,26326.09,26248.1,26324.0,19.32014
2023-05-04 04:00:00,26325.99,26349.0,26297.36,26330.65,23.84925
2023-05-04 05:00:00,26330.65,26429.11,26291.91,26419.39,26.35587
2023-05-04 06:00:00,26422.0,26445.99,26307.22,26405.4,27.19149
2023-05-04 07:00:00,26403.03,26432.99,26332.02,26360.29,34.44473
2023-05-04 08:00:00,26362.9,26439.03,26306.5,26434.01,30.60799
2023-05-04 09:00:00,26434.26,26450.0,26358.63,26397.88,39.8588
2023-05-04 10:00:00,26396.75,26621.77,26365.53,26482.23,69.04588
2023-05-04 11:00:00,26485.87,26491.99,26370.79,26395.99,39.23778
2023-05-04 12:00:00,26396.03,26549.0,26354.06,26450.75,76.46361
2023-05-04 13:00:00,26455.73,26473.56,26055.27,26165.42,96.95378
2023-05-04 14:00:00,26164.01,26340.0,26154.99,26247.0,62.53921
2023-05-04 15:00:00,26246.49,26387.0,26236.94,26287.85,35.26646
2023-05-04 16:00:00,26287.76,26360.06,26216.89,26318.01,29.81806
2023-05-04 17:00:00,26318.91,26349.49,26185.78,26239.53,26.35507
2023-05-04 18:00:00,26238.01,26275.03,26108.74,26219.99,31.03029
2023-05-04 19:00:00,26222.05,26317.66,26150.56,26300.0,30.74301
2023-05-04 20:00:00,26300.0,26318.0,26229.02,26277.0,19.09547
2023-05-04 21:00:00,26278.99,26300.0,26202.7,26253.64,13.07989
2023-05-04 22:00:00,26254.0,26269.48,26178.99,26200.28,27.21536
2023-05-04 23:00:00,26199.94,26265.48,26197.16,26250.84,13.83581
2023-05-05 00:00:00,26252.97,26344.67,26238.4,26320.63,19.28931
2023-05-05 01:00:00,26324.84,26656.99,26260.02,26644.77,69.82253
2023-05-05 02:00:00,26641.67,26803.95,26524.91,26575.72,62.67177
2023-05-05 03:00:00,26576.7,26617.15,26471.39,26519.91,31.69952
2023-05-05 04:00:00,26519.94,26590.0,26504.33,26542.39,17.55658
2023-05-05 05:00:00,26542.39,26564.01,26481.0,26516.29,19.82353
2023-05-05 06:00:00,26517.08,26564.07,26441.62,26481.15,28.06465
2023-05-05 07:00:00,26480.02,26550.38,26394.22,26442.99,40.12257
2023-05-05 08:00:00,26444.89,26495.0,26419.53,26431.0,32.60912
2023-05-05 09:00:00,26431.22,26516.12,26400.0,26479.74,41.0215
2023-05-05 10:00:00,26479.75,26505.64,26451.16,26492.03,40.82763
2023-05-05 11:00:00,26492.03,26553.74,26448.99,26507.68,59.28078
2023-05-05 12:00:00,26514.0,26622.71,26262.0,26418.0,76.46706
2023-05-05 13:00:00,26415.58,26670.67,26355.0,26601.36,62.86142
2023-05-05 14:00:00,26603.0,26813.47,26553.66,26650.01,100.76556
2023-05-05 15:00:00,26650.0,26721.84,26544.02,26714.56,89.57908
2023-05-05 16:00:00,26718.09,27000.0,26717.5,26896.59,105.72776
2023-05-05 17:00:00,26891.04,26968.3,26828.45,26832.98,58.22942
2023-05-05 18:00:00,26830.08,26891.0,26665.0,26733.23,45.55005
2023-05-05 19:00:00,26734.09,26910.0,26717.08,26909.99,31.12202
2023-05-05 20:00:00,26910.0,26944.07,26820.97,26838.01,26.47838
2023-05-05 21:00:00,26834.34,26867.09,26772.0,26797.01,31.43704
2023-05-05 22:00:00,26795.35,26919.97,26783.76,26864.99,22.14573
2023-05-05 23:00:00,26864.99,26874.01,26738.3,26760.01,25.70165
2023-05-06 00:00:00,26760.02,27055.99,26736.26,26920.14,57.21079
2023-05-06 01:00:00,26920.27,26935.93,26758.48,26811.63,22.4004
2023-05-06 02:00:00,26809.7,26823.47,26700.93,26723.56,21.86646
2023-05-06 03:00:00,26722.78,26739.98,26603.4,26625.15,20.58195
2023-05-06 04:00:00,26622.8,26682.58,26604.07,26621.0,18.69226
2023-05-06 05:00:00,26619.02,26656.95,26609.31,26627.96,11.25779
2023-05-06 06:00:00,26631.14,26670.6,26555.0,26652.93,21.84541
2023-05-06 07:00:00,26652.92,26708.0,26642.35,26659.0,18.49828
2023-05-06 08:00:00,26660.96,26662.89,26465.83,26625.76,41.74889
2023-05-06 09:00:00,26630.19,26663.53,26589.97,26599.09,19.6961
2023-05-06 10:00:00,26594.47,26623.17,26501.0,26528.27,31.875
2023-05-06 11:00:00,26529.18,26579.0,26509.81,26551.61,20.22088
